x,y
0.0,2.8313085660380533
0.01,1.4492169387530462
0.02,2.032232214241965
0.03,1.9002372297872787
0.04,3.2588734532774635
0.05,2.2455906890143114
0.06,2.5456714399352682
0.07,3.118161982155005
0.08,1.9715642266353373
0.09,2.017068607843693
0.1,0.6805433943190509
0.11,3.4024756903902644
0.12,3.292799377637822
0.13,3.0514805790147657
0.14,3.6812156363049873
0.15,2.8139441018248466
0.16,2.5866433803169504
0.17,5.332982495072339
0.18,4.585545113121499
0.19,4.286584073912271
0.2,6.259071371486497
0.21,7.04334474061975
0.22,5.946950832646039
0.23,6.602575382748447
0.24,6.110131278573965
0.25,9.180435264201972
0.26,10.443548101900928
0.27,11.20913422514259
0.28,11.601892397997148
0.29,11.35252671017089
0.3,11.037446970556887
0.31,10.246237232356645
0.32,11.407596164841689
0.33,11.526738773715072
0.34,11.55388393459246
0.35000000000000003,10.422481808661937
0.36,9.659125130830915
0.37,10.666779827120662
0.38,9.529086898171876
0.39,10.994995996325803
0.4,9.681762058640938
0.41000000000000003,6.855085436483426
0.42,8.030587417428476
0.43,5.098259847824956
0.44,6.462761184504156
0.45,6.08363850874191
0.46,4.659456560031659
0.47000000000000003,3.9309617310375558
0.48,2.5234714130244478
0.49,0.9269967871917204
0.5,-0.5516131000106776
0.51,-2.1210927668036126
0.52,-1.179357508419748
0.53,-3.3483504147471885
0.54,-3.801168790102634
0.55,-4.075658164972337
0.56,-4.699845396220452
0.5700000000000001,-5.371234513371842
0.58,-7.968469428878031
0.59,-5.405996752652454
0.6,-5.096171768964656
0.61,-6.826439354559706
0.62,-5.194657230681324
0.63,-5.580403714972976
0.64,-6.1511220350823965
0.65,-5.079234730538613
0.66,-4.287946338549602
0.67,-7.351868613495973
0.68,-5.658381587567753
0.6900000000000001,-4.11148840278347
0.7000000000000001,-4.1132457122929775
0.71,-4.076801897583148
0.72,-1.4499559963854756
0.73,-2.151770661274075
0.74,-3.7259252137605507
0.75,0.04418530929889463
0.76,-0.738491656363502
0.77,0.20767663765091315
0.78,4.185883689699532
0.79,3.881463924180615
0.8,4.4485441341156315
0.81,4.605748063796282
0.8200000000000001,5.362133300572264
0.8300000000000001,4.1779053351557085
0.84,5.036015494927873
0.85,7.703072995580676
0.86,7.5958959311309195
0.87,6.567625744870488
0.88,6.907058071229763
0.89,8.50381096578961
0.9,5.437645337144976
0.91,7.960440203791788
0.92,7.596953694184339
0.93,7.597202978544457
0.9400000000000001,5.306848692043346
0.9500000000000001,9.094011365222006
0.96,5.994021851188237
0.97,5.422136774602116
0.98,4.622157123717439
0.99,6.094334321539025
1.0,3.9636273697632345
1.01,4.319070107294242
1.02,5.846098097938592
1.03,3.9448746093514324
1.04,2.3462313845854332
1.05,3.1151426551951276
1.06,2.8113883143467606
1.07,3.5881945251075753
